,substrate,Germanosilicate composition?,Zeolite composition?,Zeotype composition?,max
0,AEI,,0.920806836248012,0.6922812446278154,0.920806836248012
1,AEL,,,0.796247758311501,0.796247758311501
2,AFI,,0.6182224706539939,0.49348333406719214,0.6182224706539939
3,AFX,,0.7695920536946804,,0.7695920536946804
4,AST,,0.653198653198653,0.8788990825688064,0.8788990825688064
5,BEA,0.7024199843871969,0.7310462985098392,,0.7310462985098392
6,BEC,0.6085988557202012,0.6085988557202012,,0.6085988557202012
7,CHA,,0.7832425317805431,0.4899093302135123,0.7832425317805431
8,CON,,0.3423992229237494,,0.3423992229237494
9,ERI,,0.5709626630679239,,0.5709626630679239
10,EUO,,0.856294857266205,,0.856294857266205
11,FAU,,0.8787501038809822,,0.8787501038809822
12,FER,,0.8298872180451128,,0.8298872180451128
13,IFR,,0.7971681415929173,,0.7971681415929173
14,ISV,0.7349282296650579,0.7583669594113579,,0.7583669594113579
15,ITE,,0.8820816624134145,,0.8820816624134145
16,ITT,0.5427766032417285,0.5427766032417285,,0.5427766032417285
17,LEV,,0.8546242774566475,0.9212121212121211,0.9212121212121211
18,LTA,,0.5260751359367276,0.4251717543735368,0.5260751359367276
19,MEL,,0.8304071050875295,,0.8304071050875295
20,MFI,,0.8247604226390353,,0.8247604226390353
21,MOR,,0.4116150695734025,,0.4116150695734025
22,MRE,,0.681481481481482,,0.681481481481482
23,MSE,,0.5061728395061729,,0.5061728395061729
24,MTT,,0.776378636561008,,0.776378636561008
25,MTW,,0.418836630730954,,0.418836630730954
26,MWW,,0.3899741374566639,,0.3899741374566639
27,NON,,0.7748417651484973,,0.7748417651484973
28,OFF,,0.7782021899668953,,0.7782021899668953
29,PHI,,,0.6793743890518085,0.6793743890518085
30,RTH,,0.7659529249242865,,0.7659529249242865
31,SFS,,0.6839642705231816,,0.6839642705231816
32,SFW,,0.5495774067202625,,0.5495774067202625
33,SGT,,0.9568581169682667,,0.9568581169682667
34,STF,,0.8667131684005892,,0.8667131684005892
35,STO,,0.7603433780255743,,0.7603433780255743
36,STT,,0.9483988717438198,,0.9483988717438198
37,TON,,0.8064736203759884,,0.8064736203759884
38,UTL,0.4916903470248866,0.4916903470248866,,0.4916903470248866
39,VET,,0.5831517792302094,,0.5831517792302094
