Zeolite,Binding (SiO2),Binding (OSDA),Competition (SiO2),Competition (OSDA),Templating,num_positive
AEI,0.8650246305418692,0.8445812807881757,0.8272577996715916,0.8804324028461928,0.8674876847290621,45.0
AEL,0.8091324200913265,0.6854388635210581,0.6205986808726549,0.8002029426686978,0.7632673769660098,15.0
AFI,0.5463665366891164,0.533888691953206,0.4432647997164122,0.6435306628854984,0.5107348703170029,65.0
AFX,0.6365289882531169,0.8083213338385663,0.8077302008336489,0.720924592648728,0.7677756726032542,65.0
AST,0.7341568206229869,0.6922663802363053,0.793591120658792,0.6999641962047999,0.7080979284369094,21.0
BEA,0.5665254617090346,0.8001449721552126,0.7660531330743058,0.6071761216830804,0.7284305205357743,274.0
BEC,0.5780145978592929,0.60984539327939,0.5954574073642258,0.6506541053564401,0.6165613413240675,38.0
CHA,0.7115083063764445,0.6069850320741266,0.6464499150172679,0.755030429299851,0.7018257579911167,122.0
CON,0.3996393660434659,0.569350858878237,0.4787415772990397,0.6022349814937837,0.35261459618487234,41.0
ERI,0.5658458424692205,0.666773486254008,0.7253837072018905,0.38426378815989193,0.6533142182492832,77.0
EUO,0.8220039895657513,0.8299319727891193,0.7507544371131939,0.8955040662881735,0.8400081837246173,19.0
FAU,0.8072018155162334,0.838551603639061,0.8461831984415386,0.40160263490852016,0.8675918301769254,58.0
FER,0.7958991723100071,0.765989465763732,0.6894281414597443,0.8363431151241534,0.8007900677200902,24.0
IFR,0.6854137597939229,0.8542449286250873,0.711924439197166,0.7982183106150126,0.7311366319630784,11.0
ISV,0.6798722971992476,0.7798577855173405,0.8086634740966515,0.9659701059352778,0.7758670729937652,12.0
ITE,0.8710716878242251,0.8767727200297438,0.8532072732423289,0.8559338538623632,0.8798711070979685,67.0
LEV,0.8655564229334742,0.8687657212247368,0.8686789834330855,0.8283459103131242,0.8688524590163953,27.0
LTA,0.5322782942304826,0.4346687324775009,0.5045742954109507,0.6879518961192289,0.4667198404785663,27.0
MEL,0.7158747697974229,0.9049723756906037,0.7253038674033131,0.8867526089625479,0.8076120319214163,45.0
MFI,0.792254706476423,0.7308698241707022,0.5995675479711011,0.899810964083173,0.8267084444674627,92.0
MOR,0.5656482670089888,0.22961061189559187,0.3372700042789896,0.33980316645271563,0.30249037227214337,57.0
MRE,0.6339357971405446,0.6538980307526295,0.513353115727002,0.6959805772862138,0.6708929053142694,11.0
MSE,0.23382530400074336,0.8906989696463381,0.5031096259166441,0.8480924533556111,0.5061728395061729,19.0
MTT,0.7003907946157194,0.7307859313938349,0.7529309596178907,0.784194528875381,0.776378636561008,14.0
MTW,0.5262409667101028,0.3561900248785669,0.43013860916952873,0.444734036251628,0.418836630730954,46.0
MWW,0.3269835949574513,0.5668770832169555,0.3794573859933329,0.557957655996871,0.3656627078384795,51.0
NON,0.7677367028088429,0.7829334927004182,0.6544437804149219,0.7716639631179028,0.7757619738751809,53.0
RTH,0.7539052122628978,0.7500929812443567,0.7444476914085326,0.7949232240582335,0.7659529249242865,88.0
SGT,0.9615788093364805,0.9573826383425126,0.8977183320220297,0.8991607658012065,0.9568581169682667,12.0
STF,0.850051678901753,0.8603609572522706,0.8287573211777474,0.7473166724087651,0.8624943683248069,97.0
STO,0.7515852885225084,0.7595405545627484,0.7554620395457412,0.6199486942987251,0.7631146595953202,83.0
TON,0.8857025327613548,0.6454721748839397,0.5546218487394939,0.8899923605805937,0.8282893577011378,22.0
UTL,0.4098461380917021,0.60877431026685,0.5550975824138339,0.6520570389903027,0.48997721512506326,106.0
